Winner,Pot,Actions,ATTP1,ATTP2,HandNo
1,100.0,rcrrr/rcrrr,0.00020060539245605468,0.0,403
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,404
1,100.0,rcrrr/rcrrr,0.0,0.0,405
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,406
1,100.0,rcrrr/rcrrr,0.0,0.0,407
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,408
2,100.0,rcrrr/rcrrr,0.0,0.0,409
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,410
1,100.0,rcrrr/rcrrr,0.0,0.0,411
1,100.0,rrcrcrc/rrcrcrc,0.0,0.00020051002502441406,412
2,100.0,rcrrr/rcrrr,0.0,0.0,413
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,414
1,100.0,rcrrr/rcrrr,0.0,0.0,415
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,416
1,100.0,rcrrr/rcrrr,0.0,0.0,417
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,418
2,100.0,rcrrr/rcrrr,0.00020017623901367188,0.0,419
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,420
2,100.0,rcrrr/rcrrr,0.0,0.0,421
2,100.0,rrcrcrc/rrcrcrc,0.00014277866908482144,0.0,422
2,100.0,rcrrr/rcrrr,0.0,0.00014294896806989397,423
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,424
1,100.0,rcrrr/rcrrr,0.0,0.0,425
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,426
2,100.0,rcrrr/rcrrr,0.0,0.0,427
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00019979476928710938,428
0,100.0,rcrrr/rcrrr,0.00020008087158203126,0.0,429
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,430
2,100.0,rcrrr/rcrrr,0.0,0.0,431
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,432
2,100.0,rcrrr/rcrrr,0.0,0.0,433
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,434
2,100.0,rcrrr/rcrrr,0.0,0.0,435
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,436
1,100.0,rcrrr/rcrrr,0.0,0.00014281272888183594,437
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,438
2,100.0,rcrrr/rcrrr,0.0,0.0,439
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,440
2,100.0,rcrrr/rcrrr,0.0,0.0,441
1,100.0,rrcrcrc/rrcrcrc,0.0,0.0,442
1,100.0,rcrrr/rcrrr,0.0,0.0,443
1,100.0,rrcrcrc/rrcrcrc,0.00014291490827287947,0.0,444
2,100.0,rcrrr/rcrrr,0.0,0.0,445
2,100.0,rrcrcrc/rrcrcrc,0.0,0.00020003318786621094,446
2,100.0,rcrrr/rcrrr,0.0,0.0,447
2,100.0,rrcrcrc/rrcrcrc,0.0,0.0,448
